name,step,checkpoint_path,image_path,continuous_re,continuous_ssim,best_threshold,best_threshold_re,best_threshold_ssim,square_min,square_mean,square_max,center_mean,center_max,edge_mean,background_mean,eps_min,eps_max,eps_mean,data_loss,pde_loss,boundary_loss,integral_data_loss
results_5_3_2_square_0_3GHz_hard_boundary_outer_taper_sanity3k,3000.0,square_target\results_5_3_2_square_0_3GHz_hard_boundary_outer_taper_sanity3k\checkpoint_adam_003000.pt,square_target\results_5_3_2_square_0_3GHz_hard_boundary_outer_taper_sanity3k\comparison_adam_003000.png,0.2961477599463817,0.8377430367913398,1.9600000000000006,0.1781037698757314,0.9548152877628923,1.5393121242523193,2.9040958881378174,3.9703400135040283,3.7865095138549805,3.9703400135040283,2.6099581718444824,1.0603491067886353,1.0,3.9703400135040283,1.3553487062454224,1.858237010310404e-05,1.0281219482421875,0.06697110086679459,9.004433195514139e-06
results_5_3_2_square_0_3GHz_hb_clean_pde_3k,3000.0,square_target\results_5_3_2_square_0_3GHz_hb_clean_pde_3k\checkpoint_adam_003000.pt,square_target\results_5_3_2_square_0_3GHz_hb_clean_pde_3k\comparison_adam_003000.png,0.3288493897328107,0.7811237905150858,2.200000000000001,0.16420356243807677,0.962330079172806,1.963459849357605,2.6397817134857178,2.9620323181152344,2.916670322418213,2.9620323181152344,2.5474853515625,1.0811004638671875,1.0,2.9620323181152344,1.3304895162582397,3.6378155527927447e-06,0.19418755173683167,0.012062721885740757,9.077768481802195e-06
results_5_3_2_square_0_3GHz_hb_domain0735_3k,3000.0,square_target\results_5_3_2_square_0_3GHz_hb_domain0735_3k\checkpoint_adam_003000.pt,square_target\results_5_3_2_square_0_3GHz_hb_domain0735_3k\comparison_adam_003000.png,0.3366555442120713,0.7711583348359333,2.3000000000000007,0.19705537694981143,0.9461049254966101,2.158942699432373,2.650233268737793,2.949831247329712,2.8889498710632324,2.949831247329712,2.5706608295440674,1.0954737663269043,1.0,2.949831247329712,1.3442354202270508,3.4897325349447783e-06,0.1695745289325714,0.011225358583033085,9.270402188121807e-06
results_5_3_2_square_0_3GHz_hb_domain085_3k,3000.0,square_target\results_5_3_2_square_0_3GHz_hb_domain085_3k\checkpoint_adam_003000.pt,square_target\results_5_3_2_square_0_3GHz_hb_domain085_3k\comparison_adam_003000.png,0.3288493897328107,0.7811237905150858,2.200000000000001,0.16420356243807677,0.962330079172806,1.963459849357605,2.6397817134857178,2.9620323181152344,2.916670322418213,2.9620323181152344,2.5474853515625,1.0811004638671875,1.0,2.9620323181152344,1.3304895162582397,3.6378155527927447e-06,0.19418755173683167,0.012062721885740757,9.077768481802195e-06
results_5_3_2_square_0_3GHz_hb_domain088_3k,3000.0,square_target\results_5_3_2_square_0_3GHz_hb_domain088_3k\checkpoint_adam_003000.pt,square_target\results_5_3_2_square_0_3GHz_hb_domain088_3k\comparison_adam_003000.png,0.28929755843208554,0.8462162670392471,1.9300000000000006,0.16668287070799284,0.9610228720954171,1.567147970199585,2.9281744956970215,3.966761827468872,3.7958643436431885,3.966761827468872,2.638944625854492,1.0554965734481812,1.0,3.966761827468872,1.355125069618225,1.5852803699090146e-05,0.8718383312225342,0.06948012113571167,8.972199793788604e-06
results_5_3_2_square_0_3GHz_hb_domain090_3k,3000.0,square_target\results_5_3_2_square_0_3GHz_hb_domain090_3k\checkpoint_adam_003000.pt,square_target\results_5_3_2_square_0_3GHz_hb_domain090_3k\comparison_adam_003000.png,0.2960189376231881,0.8395069099342897,1.9100000000000006,0.1781037698757314,0.9552327963808743,1.542769193649292,2.9225854873657227,4.052439212799072,3.8732688426971436,4.052439212799072,2.6056909561157227,1.056203842163086,1.0,4.052439212799072,1.3548249006271362,1.5350608009612188e-05,0.979896605014801,0.07487203180789948,9.251420124201104e-06
results_5_3_2_square_0_3GHz_hb_domain092_3k,3000.0,square_target\results_5_3_2_square_0_3GHz_hb_domain092_3k\checkpoint_adam_003000.pt,square_target\results_5_3_2_square_0_3GHz_hb_domain092_3k\comparison_adam_003000.png,0.2935910699056629,0.8428756229998359,1.8900000000000006,0.16717432004191876,0.9607271563002413,1.542998194694519,2.9362354278564453,4.105591297149658,3.9002604484558105,4.105591297149658,2.614893674850464,1.0538890361785889,1.0,4.105591297149658,1.3550643920898438,1.5083935068105347e-05,0.9890110492706299,0.07464613020420074,9.342806151835248e-06
results_5_3_2_square_0_3GHz_hb_outer_taper_domain088_14000,14000.0,square_target\results_5_3_2_square_0_3GHz_hb_outer_taper_domain088_14000\checkpoint_adam_014000.pt,square_target\results_5_3_2_square_0_3GHz_hb_outer_taper_domain088_14000\comparison_adam_014000.png,0.297034912667083,0.840648980010255,1.9300000000000006,0.24749596717446276,0.917063653094658,1.7263143062591553,2.99747371673584,3.9267983436584473,3.8389196395874023,3.9267983436584473,2.7169911861419678,1.0776244401931763,1.0,3.9267983436584473,1.3848001956939697,9.150258847512305e-06,0.5902867317199707,0.020285267382860184,8.654055818624329e-06
results_5_3_2_square_0_3GHz_lbfgs_from_17000,17200.0,square_target\results_5_3_2_square_0_3GHz_lbfgs_from_17000\model_final.pt,square_target\results_5_3_2_square_0_3GHz_lbfgs_from_17000\comparison.png,0.22994420352569325,0.9121448825163919,1.8500000000000005,0.14186753563273247,0.9714020897317276,1.4148693084716797,3.282294750213623,3.990028142929077,3.932471513748169,3.990028142929077,3.0655689239501953,1.0305386781692505,1.0,3.990028142929077,1.3908195495605469,3.111290141077916e-07,0.007412076462060213,0.0012797699309885502,8.36738763609901e-06
results_5_3_2_square_0_3GHz_metric,30000.0,square_target\results_5_3_2_square_0_3GHz_metric\checkpoint_adam_030000.pt,square_target\results_5_3_2_square_0_3GHz_metric\comparison.png,0.2381854103611044,0.9081104257492282,1.6400000000000003,0.15192013612050295,0.9674263686113154,1.2876863479614258,3.3330068588256836,4.13472843170166,4.075865745544434,4.13472843170166,3.0853872299194336,1.0246556997299194,1.0,4.13472843170166,1.3939919471740723,3.984292789027677e-07,0.006519063375890255,0.0012932575773447752,8.02106751507381e-06
results_5_3_2_square_0_3GHz_only_edge_14k,14000.0,square_target\results_5_3_2_square_0_3GHz_only_edge_14k\checkpoint_adam_014000.pt,square_target\results_5_3_2_square_0_3GHz_only_edge_14k\comparison_adam_014000.png,0.3896897317048855,0.692651149107861,2.550000000000001,0.34584659712202576,0.8250657923631819,2.508380651473999,2.576629400253296,2.644716262817383,2.5896434783935547,2.63774037361145,2.572291612625122,1.1585992574691772,1.0,2.644716262817383,1.3854840993881226,1.940972651937045e-06,0.11684004962444305,0.027423469349741936,1.0269454833178315e-05
